freq (Hz)	magnitude
7.710000E+2	3.563152E-1
7.720000E+2	3.286916E-1
7.730000E+2	3.377819E-1
7.740000E+2	2.622205E-1
7.750000E+2	2.878614E-1
7.760000E+2	2.661148E-1
7.770000E+2	2.435002E-1
7.780000E+2	2.647977E-1
7.790000E+2	2.333597E-1
7.800000E+2	2.375966E-1
7.810000E+2	2.349673E-1
7.820000E+2	2.103368E-1
7.830000E+2	2.355733E-1
7.840000E+2	2.099554E-1
7.850000E+2	2.095176E-1
7.860000E+2	2.189242E-1
7.870000E+2	1.952401E-1
7.880000E+2	2.167774E-1
7.890000E+2	1.992928E-1
7.900000E+2	1.983880E-1
7.910000E+2	2.091129E-1
7.920000E+2	1.860805E-1
7.930000E+2	2.079332E-1
7.940000E+2	1.921463E-1
7.950000E+2	1.926948E-1
7.960000E+2	2.027269E-1
7.970000E+2	1.816605E-1
7.980000E+2	2.019773E-1
7.990000E+2	1.864925E-1
8.000000E+2	1.872008E-1
8.010000E+2	1.987763E-1
8.020000E+2	1.801875E-1
8.030000E+2	2.051427E-1
8.040000E+2	1.896624E-1
8.050000E+2	1.903073E-1
8.060000E+2	1.976674E-1
8.070000E+2	1.778824E-1
8.080000E+2	1.996388E-1
8.090000E+2	1.854253E-1
8.100000E+2	1.847742E-1
8.110000E+2	1.918544E-1
8.120000E+2	1.733798E-1
8.130000E+2	1.926992E-1
8.140000E+2	1.767938E-1
8.150000E+2	1.817498E-1
8.160000E+2	1.950662E-1
8.170000E+2	1.757701E-1
8.180000E+2	1.918815E-1
8.190000E+2	1.743781E-1
8.200000E+2	1.785987E-1
8.210000E+2	1.824267E-1
8.220000E+2	1.666431E-1
8.230000E+2	1.882783E-1
8.240000E+2	1.725787E-1
8.250000E+2	1.776136E-1
8.260000E+2	1.795672E-1
8.270000E+2	1.720420E-1
8.280000E+2	1.920645E-1
8.290000E+2	1.784293E-1
8.300000E+2	1.848629E-1
8.310000E+2	1.902853E-1
8.320000E+2	1.763419E-1
8.330000E+2	1.959595E-1
8.340000E+2	1.808339E-1
8.350000E+2	1.887986E-1
8.360000E+2	1.926947E-1
8.370000E+2	1.799518E-1
8.380000E+2	1.989387E-1
8.390000E+2	1.826698E-1
8.400000E+2	1.922338E-1
8.410000E+2	1.964661E-1
8.420000E+2	1.831745E-1
8.430000E+2	2.053897E-1
8.440000E+2	1.934042E-1
8.450000E+2	2.045519E-1
8.460000E+2	2.110096E-1
8.470000E+2	2.002944E-1
8.480000E+2	2.184056E-1
8.490000E+2	2.061174E-1
8.500000E+2	2.183033E-1
8.510000E+2	2.225459E-1
8.520000E+2	2.086451E-1
8.530000E+2	2.391346E-1
8.540000E+2	2.256480E-1
8.550000E+2	2.334471E-1
8.560000E+2	2.468490E-1
8.570000E+2	2.345220E-1
8.580000E+2	2.605985E-1
8.590000E+2	2.650494E-1
8.600000E+2	2.900282E-1
8.610000E+2	3.253346E-1
8.620000E+2	3.237634E-1
8.630000E+2	3.446058E-1
8.640000E+2	3.433484E-1
8.650000E+2	3.883083E-1
8.660000E+2	4.194743E-1
8.670000E+2	4.639063E-1
8.680000E+2	5.411755E-1
